"offer_name","price","mileage_km","fuel_type","transmission","engine_capacity","power","country_of_origin","description","vehicle_brand","vehicle_model","color","production_year","seller_name","seller_type","seller_time_on_site","location","weight_kg","power_num","engine_capacity_num","mileage_km_num","weight_kg_num","years","price_num"
"Renault PREMIUM 460 DXi EEV","43050","1 045 000 km","Diesel","Automatyczna","10 837 cm3","460 KM","Polska","BUDMAT Transport posiada do sprzedaży samochód ciężarowy marki:RENAULT PREMIUM 460 DXi EEV EURO5Rok produkcji 2011Przebieg 1 045 000 kmOPIS POJAZDU:SILNIKSilnik rzędowy, 6 cylindrowy, pojemność silnika 10,8 dm3, moc maksymalna 460 KM, spełnia normę toksyczności spalin EURO 5Wyciszenie do 80dBUKŁAD NAPĘDOWYSkrzynia biegów Optidriver+ AT 2412D TD (14,94 - 1) - sprzęgło zautomatyzowane.Most P13170 2. generacji z przełożeniem bezpośrednim.Przełożenie 14 x 37 ( 2,64).Blokada tylnego mostuPODWOZIEZawieszenie przednie paraboliczneZawieszenie tylne pneumatyczneZbiornik paliwa 790 dm3 +330 dm3Skrzynki narzędzioweZbiornik AdBlue 60 dm3Siodło Jost JSK 42 H=1100 mmKABINAKabina zaw. pneumatycznie2 leżankiNiezależne ogrzewanie kabinyElektrycznie sterowane szyby w drzwiach kabinyElektrycznie sterowane główne lusterka wsteczneKlimatyzacjaUKŁAD HAMULCOWYHamulce przednie i tylne tarczoweUkład EBS BASIC +Zwalniacz OPTIBRAKEKOŁA OGUMIENIEStalowe felgiOgumienie 315/70 R 22,5INNETempomatTachograf cyfrowyBlokada tylnego mostuGniazdo InfomaxOgranicznik prędkości do 85 km/hCertyfikat Euro 5Samochód jest w ciągłej eksploatacji, regularnie serwisowany, w bardzo dobrym stanie technicznymCena 35.000 zł NETTO do małej negocjacjiW przypadku dodatkowych pytań prosimy o kontakt telefoniczny – Wyświetl numer, Wyświetl numer","Renault","PREMIUM 460 DXi EEV","Czerwony",2011,"Maciej","Osoba prywatna","Sprzedający na OTOMOTO od 2016","Płock, Mazowieckie",NA,460,10837,1045000,NA,14,43050
"Mercedes-Benz Actros 1845 Bigspace Lowdeck","171900","384 033 km","Diesel","Automatyczna",NA,"450 KM","Polska","NOWOŚĆ: Płatność 50/50;30/70;20/80.MOŻLIWY LEASING PRZEZ NASZĄ FIRMĘ - więcej informacji telefonicznie lub e-mailem.mjtrucks.poland@gmail.comTel. kom. Wyświetl numerMercedes-Benz Actros 1845LowdeckPodana cena netto: 171900pln~ 39900€Oryginalny przebieg 384033kmMoc silnika 450 koni mechanicznychAutomatEuro 6Asystent śledzenia liniiAsystent uwagiPPCECESystem oszczędzania paliwa DPEPOLSKI SALONDobre Oferty: Kredytu, LeasinguZAŁATWIAM WSZYSTKIE FORMALNOŚCI ZWIĄZANE Z KREDYTEM, LEASINGIEMWSPÓŁPRACUJE Z WSZYSTKIMI FIRMAMI LEASINGOWYMI","Mercedes-Benz","Actros 1845 Bigspace Lowdeck","Biały",2018,"MJ Trucks",NA,"Sprzedający na OTOMOTO od 2022","Zobacz więcej ofert (63) tego sprzedawcyZnajdź na mapieWarszawska 15 - 05-600 Szczęsna, grójecki, Mazowieckie (Polska)",NA,450,NA,384033,NA,7,171900
"Mercedes-Benz Actros 3241","150060","280 000 km","Diesel","Automatyczna",NA,"410 KM","Niemcy","Auto sprowadzone w super stanie wszystko sprawne opony 90% przebieg 280000 tkm !","Mercedes-Benz","Actros 3241","Inny kolor",2009,"Dromader",NA,"Sprzedający na OTOMOTO od 2018","Zobacz więcej ofert (8) tego sprzedawcyZnajdź na mapieWarszawa - 01-255 Warszawa, Mazowieckie (Polska)","32000",410,NA,280000,32000,16,150060
"DAF XG","84747","158 000 km","Diesel","Automatyczna","12 902 cm3","482 KM",NA,"DAF XG 480 FT 2022 r.Pierwsza rejestracja 2023r.Po kontrakcie serwisowym, z gwarancją na układ napędowy.Gwarancja na wtryski do 2028!Pojemność skokowa silnika: 12902 cm3Moc: 482 KMAutomatyczna skrzynia biegów- ABS system zapobiegający blokowaniu kół- Asystent pasa ruchu- ACC tempomat- Immobilizer- Klimatyzacja- Komputer pokładowy- Leżanka x2- Lusterka cyfrowe zewnętrzne podgrzewane elektrycznie- Lusterka cyfrowe zewnętrzne regulowane elektrycznie- Ogrzewanie postojowe- Spoilery kabinowe- Szyby regulowane elektr.- Kierownica wielofunkcyjna- LodówkaJeśli są Państwo zainteresowani kupnem, bądź leasingiem prosimy o kontakt z naszym działem handlowym:We speak English, Russian, GermanJakub - Wyświetl numer / WhatsApp ( ENG, RUS )Michał - Wyświetl numer / WhatsApp ( RUS )Piotr - Wyświetl numer / WhatsApp ( ENG, RUS, GER )Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia. Ceny pojazdów nie zawierają ubezpieczenia OC.","DAF","XG","Biały",2022,"Euro-Truck Pojazdy ciężarowe i naczepy",NA,"Sprzedający na OTOMOTO od 2008","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweSzybka naprawaNaprawy blacharskiePomoc drogowa /holowanieWynajem pojazdówPrzegląd technicznyNaprawa mobilna","11267",482,12902,158000,11267,3,84747
"DAF CF 450 FT * ADR Typoklasa FL, włączając EX/II, EX/III oraz AT * Hydraulika *","69000","830 230 km","Diesel","Automatyczna","10 837 cm3","450 KM","Polska","Jesteśmy gotowi do udzielenia dodatkowych informacji:Łukasz Cherubiński Wyświetl numerDAF CF 450 FTADR Typoklasa FL, włączając EX/II, EX/III oraz AT2019 rokPrzebieg 830 230 kmWaga 6755 kgKabina sypialnaBlokada mostuHydraulikaPrzystawkaZwalniacz do 44tŚwiatła LED do jazdy dziennejEuro 6KlimatyzacjaAsystent pasa ruchuOpony 315/80Dach uchylnyOgrzewanie postojowe1 łóżkoFaktura VATKontakt:Łukasz CherubińskiWyświetl numerNiniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, paragraf1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia","DAF","CF 450 FT * ADR Typoklasa FL, włączając EX/II, EX/III oraz AT * Hydraulika *","Biały",2019,"Sky Truck Polska Sp. z o.o.",NA,"Sprzedający na OTOMOTO od 2015","Usługi finansoweUsługi ubezpieczeniowePomoc drogowa /holowanieWynajem pojazdów",NA,450,10837,830230,NA,6,69000
"Scania S450","368877","530 000 km","Diesel","Automatyczna","12 742 cm3","450 KM","Polska","Sprzedam Scania S450 w najwyższej kabinie. Jesteśmy pierwszym właścicielem pojazdu. Rok produkcji 2020. Auto w idealnym stanie zarówno technicznym jak i wizualnym. Ospojlerowane - wykonanie na zamówienie. Samochód po 4 letnim kontrakcie serwisowym. W ostatnim czasie wymienione zostało sprzęgło.","Scania","S450","Biały",2020,"ELTRANS",NA,"Sprzedający na OTOMOTO od 2022","poniedziałek08:00 - 17:00wtorek08:00 - 17:00środa08:00 - 17:00czwartek08:00 - 17:00piątek08:00 - 17:00sobota08:00 - 15:00niedzielaZamknięteZnajdź na mapieJana Pawła II 84, Somianka, Polska - 07-203 Somianka-Parcele, wyszkowski, Mazowieckie (Polska)",NA,450,12742,530000,NA,5,368877
"Inny Astra","553500","221 000 km","Diesel",NA,NA,NA,NA,"Kalkulator ma jedynie charakter poglądowy i nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Warunkiem udzielenia kredytu konsumenckiego jest pozytywny wynik oceny zdolności kredytowej i ryzyka kredytowego konsumenta, a ostateczne warunki kredytowania zależą od wyniku tej oceny.","Inny","Astra","Żółty",2006,"Dawid","Osoba prywatna","Sprzedający na OTOMOTO od 2018","Radom, Mazowieckie",NA,NA,NA,221000,NA,19,553500
"Mercedes-Benz Actros","319800","282 000 km","Diesel",NA,NA,NA,NA,"Pompa w ciągłej eksploatacji. Więcej informacji pod numerem telefonu:Wyświetl numerWyświetl numer","Mercedes-Benz","Actros","Biały",2004,"Dawid","Osoba prywatna","Sprzedający na OTOMOTO od 2018","Grójec, grójecki, Mazowieckie",NA,NA,NA,282000,NA,21,319800
"Mercedes-Benz Sprinter 517","435000","10 km","Diesel","Automatyczna","1 950 cm3","170 KM",NA,"MB Sprinter 517Silnik 2.0l, 170 kmLiczba miejsc 24 (możliwość doposażenia w miejsca stojące)Dostępny od rękiW ofercie posiadamy usługę wynajmu długoterminowego z możliwością wykupu pojazdu po okresie umowy, najmu auta zastępczego opłacanego z OC/AC oraz likwidacje szkody komunikacyjne.Chcesz zmienić coś w swojej flocie? U nas możliwa jest zamiana Twojego busa/autobusu z dopłatą Klienta lub naszą.Posiadamy autorskie projekty wielu rodzajów zabudowy, a także dopasowujemy się do upodobań i potrzeb klientów. Dzięki indywidualnemu podejściu do każdego pojazdu oraz wysokich możliwościach personalizacji, spełnimy państwa oczekiwania.Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl Art. 66. § 1. Kodeksu Cywilnego. Sprzedający nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia, a dane w nim zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.","Mercedes-Benz","Sprinter 517","Biały",2025,"MERCUS",NA,"Sprzedający na OTOMOTO od 2016","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweNaprawy blacharskieMyjniaWynajem pojazdów",NA,170,1950,10,NA,0,435000
"Mercedes-Benz ATEGO 1224","80000","1 590 600 km","Diesel","Manualna",NA,"290 KM","Polska","Dzień dobryNa wstępie zaznaczę ,że nie jestem handlarzem tylko prowadzę firmę transportową.Na sprzedaż posiadam MB Atego 1224 18 paletówke.z windą.Podniesiona moc do 290 koni.Auto jeżdziło w Naszej firmie od 9 lat.Najpierw ruchu międzynarodowym a następnie po kraju i jest w ciągłej eksploatacji co świadczy o jego stanie technicznym.Serwisowany na bieżaco(faktury za naprawy do wglądu).Ostatnio był robiony duży przegląd.Rozmiar opon 265/70 R19,5.Przeglad do września 2025,OC 6,10,2025,UDT 2026.Mamy kikla nowszych aut w firmie ale powiem szczerze,że do tego auta podchodzisz przysłowiowo kopniesz,zapala i jedziesz.Cena 80.000 brutto do negocjacji","Mercedes-Benz","ATEGO 1224","Czerwony",2010,"PAWEŁ","Osoba prywatna","Sprzedający na OTOMOTO od 2021","Karczew, otwocki, Mazowieckie","5030",290,NA,1590600,5030,15,80000
"Mercedes-Benz Atego","60270","1 300 000 km","Diesel","Manualna",NA,"280 KM",NA,"Sprzedam Mercedes Atego 1828 3 osie, kabina sypialna, chłodnia agregat thermo king sprawny. Silnik po remoncie głowicy. Opony do jazdy, winda aktualny udt.","Mercedes-Benz","Atego","Biały",2003,"Emil","Osoba prywatna","Sprzedający na OTOMOTO od 2023","Radom, Mazowieckie",NA,280,NA,1300000,NA,22,60270
"DAF XF 530","46617","542 300 km","Diesel","Automatyczna","12 800 cm3","530 KM","Polska","Cena netto :37900€Auto bezwypadkowe, serwisowane . Bogate wyposażenie: kabina na poduszkach, reflektory led, aktywny tempomat, komfortowy fotel kierowcy, daf night lock, separator itp.Opony tył 90%, przód 80%. Zbiorniki 1280l.","DAF","XF 530","Biały",2021,"J007","Osoba prywatna","Sprzedający na OTOMOTO od 2017","Grójec, grójecki, Mazowieckie",NA,530,12800,542300,NA,4,46617
"DAF XF 460","67527","999 999 km","Diesel","Automatyczna","13 000 cm3","460 KM",NA,"Ciągnik Siodłowy Standard: DAF XF 460 FT EURO 6 SSC: - Produkcja 2015- Przebieg 999999km-Retarder - ABS/EBS, - spojler zakabinowy, - osłona przeciwsłoneczna, - lodówka, - skrzynia automatyczna, - el. szyby, - spojler dachowy, - owiewki narożnikowe, - tempomat, - Opony: 315/70 22,5 - reflektory Skylights, - klimatyzacja, - ogrzewanie postojowe,, -- 2 leżanki,","DAF","XF 460","Biały",2015,"Prywatny","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Płock, Mazowieckie",NA,460,13000,999999,NA,10,67527
"Volvo FH 540 6x2 BDF z możliwością wywrotu","149000","478 000 km","Diesel","Automatyczna","12 777 cm3","540 KM",NA,"tel. (048) Wyświetl numertel. (048) Wyświetl numerVOLVO FHBDF z możliwością wywroturok produkcji 2014MOC 540KMNAPĘD 6X2przebieg 478.000km / PEŁNY SERWISrozstaw osi 1-2 / 5,20mWSZYSTKIE NAPRAWY I BIEŻĄCE WYMIANY ROBIONE TYLKO W ASO VOLVOskrzynia biegów automatzawieszenie przód i tył na poduszkach3 oś podnoszona i skrętnaopony 70%AUTO SPROWADZONE ZE SZWECJIPRZYGOTOWANE DO REJESTRACJI(nieeksploatowane w Polsce)WYPOSAŻENIE* ledy / ksonony* klimatyzacja* lodówka* retarder / VEB* blokada mostu* wspomaganie kierownicy* elektryczne szyby* asystent pasa ruchu* aktywny tempomatGOTOWE DO PRACYSUPER STAN","Volvo","FH 540 6x2 BDF z możliwością wywrotu","Zielony",2014,"RT TRADE","Osoba prywatna","Sprzedający na OTOMOTO od 2020","Radom, Mazowieckie",NA,540,12777,478000,NA,11,149000
"MAN Tgs 26.430 26.470 26.510","59999","723 000 km","Diesel","Automatyczna","12 418 cm3","430 KM",NA,"MAN TGS 26.430  sprawny anglik  możliwość powrotu na kołach,  super stan,  możliwość kupienia na części -   Dodatkowe informacje:   Numer oferty: AKL24X2K","MAN","Tgs 26.430 26.470 26.510","Biały",2019,"Handel Artykułami Przemysłowymi Adam Bartnicki",NA,"Sprzedający na OTOMOTO od 2012","poniedziałek08:00 - 17:00wtorek08:00 - 17:00środa08:00 - 17:00czwartek08:00 - 17:00piątek08:00 - 17:00sobota08:00 - 12:00niedzielaZamknięteZnajdź na mapieKozerki, ul. Wenus 1 - 05-825 Kozerki, grodziski, Mazowieckie (Polska)",NA,430,12418,723000,NA,6,59999
"Volvo FM9","87207","332 000 km","Diesel","Manualna","7 146 cm3","240 KM",NA,"- Volvo FM9- Rok produkcji 2001r- Wywrotka hydoburta- HDS Fassi 6 sekcji z łyżka, czerpakiem w zestawie- Wywrot podnosi bez problemu 15 ton- Wzmocnione resory- Wymiary skrzyni ładunkowej 238x500x70 cm- klapoburta z tyłu- pomalowa skrzynia ładunkowa- tachograf tarczka- oszczedzna jednostka silnikowa 25l/100km-Podana cena brutto. Wystawiamy fakture Vat- cena 70 900 zł nettoSamochód w ciągłej ekpsploatacji i wszystkie naprawy wykonywane nabieząco. Możliwość sprawdzenia pracy hds i wyrotu na placu. Niezawodny samochód do pracy. W przypadku pytań prosze o kontakt telefoniczny.","Volvo","FM9","Biały",2001,"Adam","Osoba prywatna","Sprzedający na OTOMOTO od 2022","Stanisławów Pierwszy, legionowski, Mazowieckie","7410",240,7146,332000,7410,24,87207
"MAN TGX 440","39500","1 432 521 km","Diesel","Automatyczna","10 500 cm3","440 KM","Austria","Sprzedam Mana TGX440. Uszkodzony intercooler (rozszczelniony). Tak to reszta mechanicznie sprawnie.Cena to 39 500zł + podatekMożliwość wystawienia faktury VATKontakt tylko telefonicznyMój numer tel: Wyświetl numer","MAN","TGX 440","Zielony",2011,"Sergiusz","Osoba prywatna","Sprzedający na OTOMOTO od 2021","Płock, Mazowieckie",NA,440,10500,1432521,NA,14,39500
"Mercedes-Benz Actros 1836","100000","922 905 km","Diesel",NA,NA,"360 KM",NA,"Opis!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Kontakt: Wyświetl numer !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!AUTOTRANSPORTERMERCEDES-BENZ ACTROS 1836 - 2007 rok zarejestrowany jako Samochód Specjalny Pomoc Drogowa z naczepąCena Netto 100TYS PLN!!!! PRZED PRZYJAZDEM PROSZĘ O KONTAKT TELEFONICZNY W CELU UMÓWIENIA SIE NA OGLĘDZINY !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Kontakt: Wyświetl numer !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","Mercedes-Benz","Actros 1836","Biały",2007,"FHU SPEEDEX Importer Chrysler Pacifica 25 lat na rynku ,Auta z gwarancją",NA,"Sprzedający na OTOMOTO od 2013","poniedziałek10:00 - 17:00wtorek10:00 - 17:00środa10:00 - 17:00czwartek10:00 - 17:00piątek10:00 - 17:00sobota10:00 - 15:00niedzielaZamknięteZnajdź na mapieOgarów Polskich 51, 96-325 Krze Duże, Polska - 96-325 Krze Duże, żyrardowski, Mazowieckie (Polska)",NA,360,NA,922905,NA,18,100000
"Scania P 420","100000","1 850 000 km","Diesel",NA,NA,"420 KM",NA,"Opis!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Kontakt: Wyświetl numer !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!AUTOTRANSPORTERSCANIA P 420 - 2007 rok zarejestrowany jako Samochód Specjalny Pomoc Drogowa z NaczepąCena Netto 100tys PLN!!!! PRZED PRZYJAZDEM PROSZĘ O KONTAKT TELEFONICZNY W CELU UMÓWIENIA SIE NA OGLĘDZINY !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Kontakt: Wyświetl numer !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","Scania","P 420","Niebieski",2007,"FHU SPEEDEX Importer Chrysler Pacifica 25 lat na rynku ,Auta z gwarancją",NA,"Sprzedający na OTOMOTO od 2013","poniedziałek10:00 - 17:00wtorek10:00 - 17:00środa10:00 - 17:00czwartek10:00 - 17:00piątek10:00 - 17:00sobota10:00 - 15:00niedzielaZamknięteZnajdź na mapieOgarów Polskich 51, 96-325 Krze Duże, Polska - 96-325 Krze Duże, żyrardowski, Mazowieckie (Polska)",NA,420,NA,1850000,NA,18,100000
"DAF CF 106.440 Hydraulika siłowa do wywrotu ruchomej podłogi 2014XII WRON-POL","76000","420 000 km","Diesel","Automatyczna","1 244 cm3","440 KM","Francja","Daf Cf 106.4402014 XIIBlokada mostuHydraulika do ruchomej podłogi lub wywrotuWzorowo utrzymany egzemplarzBogato wyposażonyw perfekcyjnym stanie wizualnym i technicznymnie wymaga najmniejszego wkładu finansowegopojazd świeżo sprowadzony z Francjinie eksploatowany w Polscemożliwość sprawdzenia na dowolnej stacji diagnostycznej, serwisiezałatwiamy wszystkie formalnościzapraszam do oględzin na żywowron-poljabłonowo obok warszawyal. krakowska 6705-552Wyświetl numerWyświetl numerWyświetl numerWyświetl numer","DAF","CF 106.440 Hydraulika siłowa do wywrotu ruchomej podłogi 2014XII WRON-POL","Biały",2014,"wron-pol",NA,"Sprzedający na OTOMOTO od 2014","Zobacz więcej ofert (16) tego sprzedawcyZnajdź na mapieal. krakowska 67 - 05-552 Jabłonowo, piaseczyński, Mazowieckie (Polska)",NA,440,1244,420000,NA,11,76000
"Volvo fh4 500 low deck MEGA bogate wyposażenie 2018 wron-pol","158000","580 000 km","Diesel","Automatyczna","1 234 cm3","500 KM","Francja","Volvo FH 4 500Lowdeck -MEGARok 2018Przebieg 580 kmKabina ospoilerowana2 zbiorniki paliwa!Retarder!!!!Blokada tylnego mostuLodówkaSprowadzonyKsiążka serwisowaw perfekcyjnym stanie wizualnym i technicznymnie wymaga najmniejszego wkładu finansowegopojazd świeżo sprowadzony z Francjinie eksploatowany w Polscemożliwość sprawdzenia na dowolnej stacji diagnostycznej, serwisiezałatwiamy wszystkie formalnościzapraszam do oględzin na żywowron-poljabłonowo obok warszawyal. krakowska 6705-552Wyświetl numerWyświetl numerWyświetl numerWyświetl numer","Volvo","fh4 500 low deck MEGA bogate wyposażenie 2018 wron-pol","Biały",2018,"wron-pol",NA,"Sprzedający na OTOMOTO od 2014","Zobacz więcej ofert (16) tego sprzedawcyZnajdź na mapieal. krakowska 67 - 05-552 Jabłonowo, piaseczyński, Mazowieckie (Polska)",NA,500,1234,580000,NA,7,158000
"Volvo fh4 460 bogate wyposażenie 2017 opony 70 wron-pol","133000","708 000 km","Diesel","Automatyczna","1 234 cm3","460 KM","Francja","Volvo FH 4.460Rok XI 2017Przebieg 714 tysKabina globetroterOspoilerowanaSpilery MiedzyOsioweSzyby elektrycznie podgrzewanie i ustawianeLodówkaBlakada tylnego mostuAutomatyczną skrzynia biegówOpony 315/70w perfekcyjnym stanie wizualnym i technicznymnie wymaga najmniejszego wkładu finansowegopojazd świeżo sprowadzony z Francjinie eksploatowany w Polscemożliwość sprawdzenia na dowolnej stacji diagnostycznej, serwisiezałatwiamy wszystkie formalnościzapraszam do oględzin na żywowron-poljabłonowo obok warszawyal. krakowska 6705-552Wyświetl numerWyświetl numerWyświetl numerWyświetl numer","Volvo","fh4 460 bogate wyposażenie 2017 opony 70 wron-pol","Biały",2017,"wron-pol",NA,"Sprzedający na OTOMOTO od 2014","Zobacz więcej ofert (16) tego sprzedawcyZnajdź na mapieal. krakowska 67 - 05-552 Jabłonowo, piaseczyński, Mazowieckie (Polska)",NA,460,1234,708000,NA,8,133000
"Volvo FH 420EEV 2012 automat","66000","1 170 000 km","Diesel","Automatyczna",NA,"420 KM",NA,"podana cena eksportw kraju plus dwadzieścia trzy procentVolvo FH2012 rokautomatstandard315/70R22.5przód resor,tył zawieszenie pneumatyczne,dwa łóżkalodówkaWartość eksport.","Volvo","FH 420EEV 2012 automat","Żółty",2012,"P.U.H. BOBO",NA,"Sprzedający na OTOMOTO od 2005","Naprawa samochodówSerwis opon / przechowalniaPomoc drogowa /holowanieWynajem pojazdówPrzegląd technicznyNaprawa mobilna",NA,420,NA,1170000,NA,13,66000
"DAF Xf 106.460 klimatyzacja postojowa 2015 lodówka retarder wron-pol","58000","840 000 km","Diesel","Automatyczna","1 234 cm3","460 KM","Francja","Daf XF106.460 space cab ospoilerowanaRok 2015Przebieg 840 tys kmLodówkaretarderklimatyzacja postojowaw perfekcyjnym stanie wizualnym i technicznymnie wymaga najmniejszego wkładu finansowegopojazd świeżo sprowadzony z Francjinie eksploatowany w Polscemożliwość sprawdzenia na dowolnej stacji diagnostycznej, serwisiezałatwiamy wszystkie formalnościzapraszam do oględzin na żywowron-poljabłonowo obok warszawyal. krakowska 6705-552Wyświetl numerWyświetl numerWyświetl numerWyświetl numer","DAF","Xf 106.460 klimatyzacja postojowa 2015 lodówka retarder wron-pol","Biały",2015,"wron-pol",NA,"Sprzedający na OTOMOTO od 2014","Zobacz więcej ofert (16) tego sprzedawcyZnajdź na mapieal. krakowska 67 - 05-552 Jabłonowo, piaseczyński, Mazowieckie (Polska)",NA,460,1234,840000,NA,10,58000
"Volvo FM Rolfo Hercules 2014","119000","1 089 000 km","Diesel","Automatyczna",NA,"450 KM",NA,"Volvo FM zabudowa Rolfo HerculesWięcej informacji Wyświetl numer","Volvo","FM Rolfo Hercules 2014","Zielony",2014,"Grzymcars Grzymała Grzegorz",NA,"Sprzedający na OTOMOTO od 2016","Zobacz więcej ofert (3) tego sprzedawcyZnajdź na mapieKupientyńska 86 - 08-300 Sokołów Podlaski, sokołowski, Mazowieckie (Polska)",NA,450,NA,1089000,NA,11,119000
"Scania Scania V8 S650 + Kassbohrer niskopodwozie","599000","688 000 km","Diesel","Automatyczna",NA,"650 KM",NA,"Scania V8 S650-2018 rok-Skóra-Xenon-Kangur-Full opcja+Naczepa Kassbohrer 2016.12-rozsuwana hydraulicznie-3 oś skrętna-wyciągarka hydraulicznaZestaw w super stanie !!!Więcej informacji tel Wyświetl numer","Scania","Scania V8 S650 + Kassbohrer niskopodwozie","Szary",2018,"Grzymcars Grzymała Grzegorz",NA,"Sprzedający na OTOMOTO od 2016","Zobacz więcej ofert (3) tego sprzedawcyZnajdź na mapieKupientyńska 86 - 08-300 Sokołów Podlaski, sokołowski, Mazowieckie (Polska)",NA,650,NA,688000,NA,7,599000
"Mercedes-Benz 609D","25000","203 000 km","Diesel","Manualna","3 972 cm3","105 KM",NA,"Witam mam na sprzedaż Mercedesa 609D w bardzo dobrym stanie.Więcej informacji udzielę telefonicznie osobom zainteresowanym.","Mercedes-Benz","609D","Niebieski",1991,"Mariusz","Osoba prywatna","Sprzedający na OTOMOTO od 2024","Jednorożec, przasnyski, Mazowieckie","2915",105,3972,203000,2915,34,25000
"Mercedes-Benz Mercedes-Benz ATEGO 1524 (1624) chłodnia , winda , roleta, CARRIER  (1224 , 1227)","138000","292 099 km","Diesel","Automatyczna","7 698 cm3","240 KM","Niemcy","Do sprzedania:bezwypadkowy Mercedes ATEGO 1524przebieg 292099 km udokumentowanerok produkcji 2017data 1 rejestracji 5.09.2017pojemnośc silnika 7698cm 3 6 cylindrówmoc 240 KMzawieszenie przód resor , tył poduszkiopony przód i tył około 70%pełne elktryczne wysposażenie z klimatyzacjąradar z tempomatem aktywnym , asystent pasa ruchukomfortowe fotelekamera cofaniazabudowa chłodnia 18 paletz szybko składaną przegordą możliwość przewozu w dwóch temperaturachagregat CARRIER TWIN COOLwinda DAUTEL 15 tony (możliwość zamontowania windy zamykającej z tyłu zamiast chowanej pod spód)roleta elektrycznie zasówanasamochód bardzo zadbany , wszystko sprawnesamochód można oglądac na naszym placu w Płockumożliwośc szybkiego leasingu w procedurze uproszczonej na miejscu.","Mercedes-Benz","Mercedes-Benz ATEGO 1524 (1624) chłodnia , winda , roleta, CARRIER  (1224 , 1227)","Biały",2017,"GRUPA 7",NA,"Sprzedający na OTOMOTO od 2024","Usługi finansoweNaprawa samochodówUsługi ubezpieczenioweSzybka naprawaPrzegląd techniczny",NA,240,7698,292099,NA,8,138000
"MAN TGM 22.280","73677","999 999 km","Diesel","Automatyczna","6 871 cm3","280 KM",NA,"Jeden wlaściciel w Polsce , 3 os skrętna , cały na poduszkach , auto w 100% sprawne , wszystkie badania aktualne , VAT od faktury , opony 1-50% , 2-70%, 3-60%, , auto w ciągłej eksploatacji ,","MAN","TGM 22.280","Niebieski",2008,"Grzegorz","Osoba prywatna","Sprzedający na OTOMOTO od 2013","Radom, Mazowieckie","10980",280,6871,999999,10980,17,73677
"MAN TGM 22.280","59900","963 963 km","Diesel","Automatyczna","6 871 cm3","280 KM",NA,"Jeden wlaściciel w Polsce , 3 os skrętna , cały na poduszkach , auto w 100% sprawne , wszystkie badania aktualne , VAT od faktury , opony 1-60% , 2-60%, 3-60%, , auto w ciągłej eksploatacji","MAN","TGM 22.280","Niebieski",2008,"Grzegorz","Osoba prywatna","Sprzedający na OTOMOTO od 2013","Radom, Mazowieckie","12300",280,6871,963963,12300,17,59900
"DAF XF106 460","43800","966 000 km","Diesel","Automatyczna","12 000 cm3","460 KM",NA,"stan bardzo dobryz transportu międzynarodowegoWszystko sprawneopony 50%polecam","DAF","XF106 460","Czerwony",2015,"daf","Osoba prywatna","Sprzedający na OTOMOTO od 2015","Ostrów Mazowiecka, ostrowski, Mazowieckie","18000",460,12000,966000,18000,10,43800
"DAF XF 480 FT","116850","963 000 km","Diesel","Automatyczna","12 902 cm3","480 KM",NA,"DAF  XF 480 ,Super Space Cab,rok produkcji 2018,po wymianie wtrysków, DPF oraz tłumika (posiadam faktury z wymiany w autoryzowanym serwisie)Opony przód 70% ,tył 95%Nowe akumulatoryPo więcej informacji zapraszam do kontaktu telefonicznego.","DAF","XF 480 FT","Biały",2018,"Michał","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Kanie, pruszkowski, Mazowieckie","42000",480,12902,963000,42000,7,116850
